,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
515,516,2004-07-08,Oficina,Alquiler,Barcelona,119,720902,2005-06-23,Carmen
516,517,2004-07-08,Industrial,Venta,Girona,174,1313526,2005-01-16,Pedro
521,522,2004-07-09,Casa,Venta,Lleida,223,1293400,2005-03-03,Carmen
522,523,2004-07-09,Suelo,Alquiler,Girona,270,1429380,2005-03-25,Carmen
523,524,2004-07-10,Piso,Alquiler,Barcelona,159,1536576,2005-06-24,Pedro
524,525,2004-07-10,Parking,Venta,Lleida,280,1249360,2005-01-09,Pedro
525,526,2004-07-11,Parking,Venta,Girona,162,1594404,2005-03-07,María
527,528,2004-07-12,Casa,Alquiler,Lleida,231,2273040,2005-02-04,Joaquín
528,529,2004-07-12,Industrial,Alquiler,Lleida,206,1414602,2005-06-14,Carmen
533,534,2004-07-14,Oficina,Venta,Girona,62,410316,2004-12-27,Luisa
534,535,2004-07-14,Industrial,Alquiler,Lleida,280,1730680,2005-05-07,Carmen
535,536,2004-07-14,Casa,Venta,Girona,197,1292123,2005-06-30,Joaquín
536,537,2004-07-14,Local,Alquiler,Girona,117,1031121,2005-04-30,Luisa
537,538,2004-07-15,Industrial,Alquiler,Girona,279,2161134,2005-03-09,María
541,542,2004-07-16,Oficina,Venta,Barcelona,182,1514968,2004-10-24,María
543,544,2004-07-17,Oficina,Venta,Tarragona,79,694331,2005-03-10,Carmen
547,548,2004-07-20,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
548,549,2004-07-20,Local,Venta,Girona,237,1403988,2005-06-27,Carmen
549,550,2004-07-21,Casa,Alquiler,Lleida,275,1711325,2005-04-27,Luisa
550,551,2004-07-21,Piso,Alquiler,Girona,237,2215002,2004-10-31,Pedro
552,553,2004-07-21,Oficina,Venta,Barcelona,209,1568754,2004-12-15,Pedro
554,555,2004-07-22,Piso,Venta,Girona,138,1289748,2004-12-25,Luisa
556,557,2004-07-23,Piso,Alquiler,Girona,198,1916442,2005-04-14,Joaquín
557,558,2004-07-24,Piso,Alquiler,Girona,246,1875012,2005-03-08,Luisa
558,559,2004-07-24,Local,Alquiler,Tarragona,188,1590104,2004-10-26,Pedro
559,560,2004-07-25,Industrial,Alquiler,Tarragona,285,1412175,2004-12-01,Pedro
562,563,2004-07-25,Piso,Venta,Barcelona,237,1272216,2005-04-27,Jesús
565,566,2004-07-26,Local,Alquiler,Girona,266,1881950,2005-01-15,María
571,572,2004-07-28,Local,Alquiler,Tarragona,235,1897155,2005-07-01,Carmen
572,573,2004-07-28,Parking,Venta,Tarragona,243,1038825,2004-12-14,Jesús
574,575,2004-07-28,Parking,Alquiler,Barcelona,280,1877400,2005-04-21,Joaquín
576,577,2004-07-29,Oficina,Venta,Barcelona,154,889658,2005-06-22,Joaquín
577,578,2004-07-29,Oficina,Venta,Girona,221,1571973,2004-12-25,Joaquín
579,580,2004-07-30,Parking,Venta,Tarragona,226,1634884,2005-07-20,María
580,581,2004-07-30,Casa,Venta,Tarragona,230,1742020,2004-11-16,Jesús
581,582,2004-07-31,Industrial,Venta,Lleida,290,2584480,2004-11-22,Jesús
582,583,2004-07-31,Local,Venta,Tarragona,297,1767744,2005-03-23,Pedro
583,584,2004-08-01,Casa,Alquiler,Girona,257,1077601,2005-02-07,Luisa
584,585,2004-08-01,Parking,Alquiler,Girona,161,1050203,2005-02-04,Joaquín
585,586,2004-08-01,Oficina,Alquiler,Lleida,77,613921,2005-03-23,María
586,587,2004-08-02,Piso,Alquiler,Barcelona,184,1286344,2005-07-02,Joaquín
588,589,2004-08-02,Oficina,Venta,Tarragona,138,1372686,2005-06-17,Carmen
592,593,2004-08-04,Suelo,Venta,Tarragona,213,1234974,2005-06-23,Carmen
593,594,2004-08-04,Industrial,Alquiler,Tarragona,171,1148436,2005-06-29,Pedro
594,595,2004-08-04,Industrial,Venta,Barcelona,262,1343798,2005-04-15,Jesús
599,600,2004-08-08,Oficina,Alquiler,Barcelona,289,1275646,2005-01-29,Pedro
601,602,2004-08-09,Industrial,Venta,Girona,227,1218763,2005-07-27,Joaquín
602,603,2004-08-09,Casa,Alquiler,Barcelona,174,1408182,2005-05-23,Jesús
604,605,2004-08-10,Piso,Alquiler,Lleida,212,1817264,2005-06-25,María
607,608,2004-08-11,Suelo,Venta,Lleida,210,1117620,2005-05-12,Carmen
608,609,2004-08-11,Suelo,Venta,Lleida,287,1790880,2004-11-18,Pedro
609,610,2004-08-11,Local,Venta,Barcelona,127,1058545,2005-01-23,Joaquín
610,611,2004-08-11,Casa,Venta,Barcelona,294,2658936,2005-06-21,Luisa
612,613,2004-08-11,Industrial,Venta,Barcelona,225,1879200,2004-11-19,Pedro
613,614,2004-08-12,Casa,Alquiler,Barcelona,241,1085705,2005-01-28,Pedro
614,615,2004-08-12,Local,Venta,Lleida,283,1992320,2005-04-07,María
615,616,2004-08-12,Piso,Alquiler,Barcelona,231,1237929,2005-04-13,Luisa
616,617,2004-08-13,Piso,Venta,Lleida,172,1283980,2005-01-27,Carmen
617,618,2004-08-13,Oficina,Alquiler,Lleida,78,391560,2005-01-20,Pedro
620,621,2004-08-14,Industrial,Venta,Tarragona,223,2171128,2005-03-23,Carmen
621,622,2004-08-14,Piso,Venta,Barcelona,123,1116348,2005-06-29,Luisa
623,624,2004-08-15,Industrial,Venta,Tarragona,154,1122352,2005-05-11,Jesús
624,625,2004-08-15,Industrial,Alquiler,Girona,222,2171826,2005-01-12,Carmen
625,626,2004-08-16,Piso,Alquiler,Tarragona,263,2061131,2005-07-28,Joaquín
627,628,2004-08-16,Casa,Alquiler,Tarragona,212,1360828,2005-04-24,Jesús
628,629,2004-08-17,Piso,Venta,Girona,249,1427019,2004-12-04,Jesús
629,630,2004-08-17,Parking,Alquiler,Girona,170,1567060,2005-02-19,María
630,631,2004-08-17,Parking,Alquiler,Barcelona,272,1972816,2005-08-14,Carmen
631,632,2004-08-17,Piso,Venta,Girona,201,1816437,2005-05-10,Pedro
632,633,2004-08-17,Parking,Alquiler,Girona,167,1191044,2005-01-11,Luisa
633,634,2004-08-18,Piso,Alquiler,Tarragona,283,2576432,2005-05-13,María
635,636,2004-08-18,Piso,Alquiler,Tarragona,181,1161477,2005-05-07,María
638,639,2004-08-19,Piso,Alquiler,Girona,277,2646181,2005-07-04,Carmen
639,640,2004-08-19,Industrial,Alquiler,Tarragona,182,1243060,2005-07-16,María
640,641,2004-08-19,Oficina,Venta,Girona,249,2306238,2005-03-02,María
642,643,2004-08-20,Industrial,Alquiler,Lleida,255,2338095,2005-08-10,Carmen
643,644,2004-08-20,Industrial,Alquiler,Tarragona,164,1162104,2005-05-10,Pedro
644,645,2004-08-20,Industrial,Venta,Tarragona,227,1917696,2005-02-22,Joaquín
645,646,2004-08-20,Parking,Alquiler,Lleida,168,1192800,2005-07-14,Joaquín
647,648,2004-08-21,Oficina,Venta,Girona,267,1153173,2005-03-28,Pedro
650,651,2004-08-22,Piso,Venta,Girona,207,1015956,2005-06-17,Jesús
651,652,2004-08-22,Oficina,Alquiler,Girona,259,1080548,2004-12-31,María
653,654,2004-08-22,Oficina,Alquiler,Girona,207,1953873,2005-06-10,Luisa
654,655,2004-08-22,Oficina,Venta,Girona,293,2787016,2005-03-23,Luisa
655,656,2004-08-23,Oficina,Venta,Tarragona,252,1773072,2005-04-01,Luisa
656,657,2004-08-23,Casa,Venta,Lleida,284,1589832,2005-02-28,Luisa
657,658,2004-08-23,Parking,Venta,Tarragona,286,1442870,2005-08-09,Pedro
659,660,2004-08-23,Piso,Venta,Tarragona,176,1003552,2005-08-05,Carmen
660,661,2004-08-23,Local,Venta,Girona,278,1730550,2004-12-09,María
661,662,2004-08-24,Parking,Alquiler,Girona,254,1963166,2005-07-27,Joaquín
663,664,2004-08-24,Local,Alquiler,Girona,252,2057832,2005-03-14,Luisa
664,665,2004-08-25,Local,Alquiler,Girona,163,1520627,2005-04-20,Pedro
665,666,2004-08-26,Suelo,Venta,Lleida,271,1457980,2005-05-09,Luisa
666,667,2004-08-26,Oficina,Venta,Barcelona,116,651920,2005-05-09,María
667,668,2004-08-27,Parking,Venta,Barcelona,195,1513005,2005-01-21,Pedro
668,669,2004-08-27,Parking,Venta,Tarragona,290,1747830,2005-01-14,Luisa
669,670,2004-08-28,Industrial,Venta,Barcelona,289,2188597,2005-04-27,María
670,671,2004-08-28,Suelo,Alquiler,Barcelona,235,1277930,2005-04-07,Luisa
671,672,2004-08-28,Local,Alquiler,Tarragona,186,1225926,2005-05-16,Luisa
673,674,2004-08-29,Parking,Venta,Girona,152,1392168,2005-08-04,Pedro
674,675,2004-08-29,Oficina,Alquiler,Barcelona,62,329716,2005-05-10,Pedro
677,678,2004-08-30,Industrial,Venta,Barcelona,225,1239300,2005-01-29,María
678,679,2004-08-30,Suelo,Venta,Tarragona,113,1074969,2005-04-16,Joaquín
679,680,2004-08-30,Piso,Alquiler,Tarragona,249,1029864,2005-05-06,Carmen
680,681,2004-08-30,Industrial,Alquiler,Tarragona,284,1166104,2005-04-08,Jesús
681,682,2004-08-30,Oficina,Venta,Lleida,274,1577692,2005-05-11,Joaquín
682,683,2004-08-30,Piso,Alquiler,Lleida,121,1049433,2005-06-07,Jesús
683,684,2004-08-31,Parking,Venta,Tarragona,247,2285244,2005-03-07,María
686,687,2004-09-01,Piso,Alquiler,Lleida,240,1214880,2005-04-09,Luisa
691,692,2004-09-02,Oficina,Venta,Lleida,177,1022883,2005-04-29,María
692,693,2004-09-03,Suelo,Venta,Barcelona,269,1722407,2004-12-21,Jesús
694,695,2004-09-03,Local,Venta,Lleida,205,1524585,2005-05-02,Pedro
695,696,2004-09-04,Suelo,Alquiler,Tarragona,256,1379328,2005-03-27,Luisa
696,697,2004-09-04,Local,Alquiler,Barcelona,163,1570016,2005-08-04,Carmen
699,700,2004-09-06,Local,Alquiler,Girona,299,1251315,2005-01-20,Luisa
700,701,2004-09-06,Casa,Venta,Girona,225,2023200,2004-12-27,Joaquín
701,702,2004-09-07,Piso,Alquiler,Girona,295,2553225,2005-01-14,Carmen
702,703,2004-09-07,Casa,Venta,Tarragona,160,1341120,2005-07-25,María
703,704,2004-09-08,Piso,Alquiler,Barcelona,278,2540364,2005-04-12,Carmen
704,705,2004-09-08,Oficina,Alquiler,Tarragona,271,1165842,2005-02-10,Luisa
705,706,2004-09-08,Piso,Alquiler,Girona,258,1501560,2005-01-05,Joaquín
706,707,2004-09-08,Industrial,Venta,Girona,215,1713120,2005-05-27,Carmen
707,708,2004-09-08,Industrial,Venta,Tarragona,158,1124012,2005-05-03,Pedro
708,709,2004-09-09,Casa,Alquiler,Tarragona,210,1181670,2005-07-13,Jesús
709,710,2004-09-09,Parking,Venta,Lleida,274,1291636,2005-05-24,María
710,711,2004-09-10,Casa,Venta,Tarragona,289,2114035,2004-12-14,Luisa
711,712,2004-09-10,Parking,Alquiler,Lleida,244,2280668,2005-07-16,María
713,714,2004-09-10,Casa,Alquiler,Lleida,235,2135210,2005-05-14,Pedro
714,715,2004-09-10,Oficina,Alquiler,Lleida,43,329681,2005-01-19,Jesús
715,716,2004-09-10,Oficina,Alquiler,Barcelona,206,1793848,2005-09-03,Luisa
718,719,2004-09-11,Oficina,Venta,Tarragona,283,1565839,2005-06-15,Pedro
719,720,2004-09-11,Casa,Venta,Tarragona,226,2216608,2005-07-09,Luisa
723,724,2004-09-12,Oficina,Alquiler,Barcelona,241,2085373,2005-07-07,Joaquín
724,725,2004-09-13,Oficina,Alquiler,Barcelona,180,901980,2005-02-07,Carmen
725,726,2004-09-13,Parking,Venta,Girona,112,1081360,2005-05-03,María
726,727,2004-09-15,Suelo,Alquiler,Girona,195,1168440,2004-12-30,Luisa
728,729,2004-09-16,Casa,Alquiler,Lleida,197,1905187,2005-09-15,Pedro
729,730,2004-09-16,Parking,Alquiler,Tarragona,284,1830664,2005-01-02,Pedro
732,733,2004-09-17,Oficina,Alquiler,Girona,164,1225244,2005-08-07,Jesús
734,735,2004-09-18,Oficina,Alquiler,Barcelona,89,588023,2005-06-26,Joaquín
737,738,2004-09-19,Suelo,Alquiler,Lleida,294,1201578,2005-01-31,Luisa
738,739,2004-09-20,Piso,Venta,Barcelona,250,1527750,2005-02-10,Luisa
739,740,2004-09-21,Parking,Alquiler,Barcelona,254,2328418,2005-01-06,Joaquín
740,741,2004-09-21,Parking,Venta,Tarragona,126,1184274,2005-07-28,María
741,742,2004-09-22,Suelo,Venta,Barcelona,218,1330236,2004-12-27,Pedro
745,746,2004-09-22,Oficina,Alquiler,Tarragona,136,761056,2005-04-11,Jesús
746,747,2004-09-22,Suelo,Alquiler,Barcelona,178,1355470,2004-12-24,María
747,748,2004-09-22,Industrial,Alquiler,Girona,228,2145480,2005-06-21,María
749,750,2004-09-23,Parking,Alquiler,Girona,294,1335936,2005-07-14,Carmen
751,752,2004-09-25,Local,Venta,Barcelona,182,1509872,2005-08-05,Luisa
753,754,2004-09-25,Piso,Alquiler,Tarragona,251,1206557,2005-05-20,María
754,755,2004-09-25,Oficina,Venta,Tarragona,235,2202655,2005-04-16,Pedro
757,758,2004-09-26,Piso,Venta,Barcelona,272,1535168,2005-07-26,Luisa
759,760,2004-09-26,Casa,Alquiler,Barcelona,299,1695330,2005-07-14,Joaquín
762,763,2004-09-27,Piso,Alquiler,Girona,291,2411808,2005-02-28,Joaquín
763,764,2004-09-27,Oficina,Alquiler,Girona,210,1122240,2005-08-27,Pedro
764,765,2004-09-28,Local,Alquiler,Girona,291,2354481,2005-01-26,Carmen
765,766,2004-09-29,Piso,Alquiler,Girona,204,1044480,2005-04-17,Jesús
767,768,2004-09-29,Piso,Venta,Girona,231,1213212,2005-06-24,Carmen
768,769,2004-10-02,Casa,Venta,Barcelona,159,1162131,2005-08-25,Pedro
769,770,2004-10-04,Oficina,Venta,Lleida,185,1343840,2005-04-17,Carmen
771,772,2004-10-04,Suelo,Venta,Barcelona,277,1363948,2005-01-02,Jesús
773,774,2004-10-05,Local,Alquiler,Tarragona,244,2332152,2005-06-05,Joaquín
774,775,2004-10-05,Local,Venta,Lleida,204,1606500,2005-07-25,Carmen
777,778,2004-10-06,Local,Alquiler,Barcelona,228,1554732,2005-08-17,Jesús
778,779,2004-10-06,Local,Alquiler,Tarragona,256,1877760,2005-04-14,María
779,780,2004-10-06,Local,Venta,Tarragona,185,1607280,2005-03-28,Carmen
780,781,2004-10-06,Suelo,Alquiler,Lleida,158,1217390,2005-04-27,Luisa
782,783,2004-10-06,Oficina,Alquiler,Girona,219,1455693,2005-01-28,Joaquín
784,785,2004-10-06,Casa,Alquiler,Barcelona,228,1685148,2005-10-05,Luisa
786,787,2004-10-06,Casa,Venta,Barcelona,279,2064879,2005-05-07,María
788,789,2004-10-07,Piso,Venta,Barcelona,251,1781849,2005-07-23,Luisa
791,792,2004-10-08,Piso,Venta,Tarragona,292,1565120,2005-10-02,Joaquín
793,794,2004-10-10,Oficina,Venta,Tarragona,277,1522946,2005-03-09,Joaquín
796,797,2004-10-11,Oficina,Venta,Barcelona,255,1442280,2005-05-04,Jesús
797,798,2004-10-11,Piso,Venta,Girona,222,1478742,2005-09-24,Jesús
798,799,2004-10-11,Suelo,Alquiler,Tarragona,278,2209822,2005-02-27,Jesús
800,801,2004-10-13,Local,Alquiler,Tarragona,159,1323198,2005-08-26,Jesús
801,802,2004-10-13,Suelo,Venta,Lleida,114,1106028,2005-02-27,María
802,803,2004-10-13,Local,Alquiler,Tarragona,163,1115409,2005-03-14,María
804,805,2004-10-14,Piso,Alquiler,Barcelona,243,1469178,2005-02-18,Pedro
805,806,2004-10-14,Oficina,Venta,Girona,43,415552,2005-01-16,Luisa
806,807,2004-10-15,Suelo,Alquiler,Tarragona,259,1891736,2005-07-18,María
807,808,2004-10-15,Oficina,Alquiler,Girona,119,630224,2005-04-09,Joaquín
808,809,2004-10-15,Casa,Venta,Tarragona,222,1292484,2005-10-01,Pedro
810,811,2004-10-16,Industrial,Venta,Lleida,214,1805518,2005-08-30,Carmen
811,812,2004-10-16,Oficina,Venta,Tarragona,236,2208252,2005-04-21,Pedro
813,814,2004-10-17,Oficina,Alquiler,Barcelona,192,1627200,2005-01-27,Luisa
814,815,2004-10-17,Industrial,Venta,Tarragona,182,1690416,2005-09-04,Pedro
815,816,2004-10-18,Parking,Alquiler,Barcelona,232,2180104,2005-07-19,Joaquín
819,820,2004-10-19,Piso,Alquiler,Tarragona,206,1688170,2005-07-17,Jesús
820,821,2004-10-19,Parking,Venta,Girona,161,1392006,2005-07-12,María
821,822,2004-10-20,Industrial,Venta,Tarragona,259,1628333,2005-08-09,María
825,826,2004-10-21,Oficina,Alquiler,Girona,239,1709567,2005-06-10,Jesús
826,827,2004-10-22,Industrial,Venta,Tarragona,149,1391809,2005-08-06,Pedro
827,828,2004-10-23,Industrial,Alquiler,Barcelona,199,1278774,2005-04-06,Pedro
828,829,2004-10-23,Local,Venta,Lleida,152,1218888,2005-03-04,Joaquín
829,830,2004-10-24,Local,Venta,Lleida,143,1409551,2005-04-23,Jesús
832,833,2004-10-24,Oficina,Alquiler,Lleida,212,1968632,2005-10-23,Pedro
834,835,2004-10-25,Parking,Venta,Lleida,168,1276800,2005-07-25,Carmen
835,836,2004-10-25,Suelo,Venta,Tarragona,274,2124596,2005-02-21,Carmen
836,837,2004-10-27,Local,Venta,Girona,127,1021334,2005-05-21,Joaquín
838,839,2004-10-27,Local,Venta,Lleida,109,1029178,2005-07-13,Joaquín
839,840,2004-10-27,Parking,Alquiler,Girona,114,1040478,2005-04-29,Carmen
840,841,2004-10-27,Piso,Venta,Girona,120,1061160,2005-04-13,Luisa
842,843,2004-10-30,Casa,Venta,Barcelona,175,1712725,2005-03-12,Carmen
844,845,2004-10-31,Industrial,Venta,Tarragona,280,1485680,2005-10-23,Luisa
845,846,2004-10-31,Suelo,Alquiler,Tarragona,246,2214984,2005-09-22,Joaquín
847,848,2004-10-31,Oficina,Alquiler,Tarragona,223,1566129,2005-04-06,Jesús
848,849,2004-11-01,Casa,Venta,Tarragona,120,1003320,2005-07-18,Carmen
849,850,2004-11-01,Piso,Alquiler,Girona,159,1391091,2005-06-16,Carmen
850,851,2004-11-01,Casa,Alquiler,Girona,157,1032118,2005-06-16,Luisa
851,852,2004-11-02,Casa,Alquiler,Girona,237,1768020,2005-04-27,Luisa
852,853,2004-11-02,Piso,Venta,Tarragona,246,1708716,2005-03-16,Jesús
853,854,2004-11-02,Piso,Alquiler,Lleida,299,2430272,2005-03-26,Carmen
854,855,2004-11-03,Suelo,Venta,Girona,223,1650200,2005-08-28,Carmen
856,857,2004-11-03,Industrial,Venta,Girona,238,2379048,2005-09-08,María
857,858,2004-11-03,Oficina,Alquiler,Lleida,251,1821758,2005-06-11,Luisa
859,860,2004-11-03,Piso,Venta,Lleida,288,2242656,2005-02-11,Jesús
862,863,2004-11-06,Oficina,Alquiler,Barcelona,246,2328636,2005-03-10,Luisa
865,866,2004-11-07,Parking,Venta,Girona,136,1054544,2005-09-18,María
868,869,2004-11-07,Parking,Alquiler,Lleida,183,1082079,2005-09-07,Carmen
869,870,2004-11-08,Industrial,Venta,Tarragona,245,1951180,2005-04-06,Luisa
871,872,2004-11-09,Piso,Alquiler,Girona,185,1390460,2005-08-29,Jesús
872,873,2004-11-09,Industrial,Alquiler,Lleida,295,2923155,2005-05-06,Luisa
874,875,2004-11-09,Oficina,Alquiler,Girona,147,1259202,2005-05-03,Pedro
876,877,2004-11-09,Oficina,Alquiler,Lleida,128,549120,2005-03-16,Carmen
877,878,2004-11-10,Industrial,Alquiler,Barcelona,145,1372135,2005-04-18,Pedro
878,879,2004-11-10,Oficina,Venta,Lleida,147,1070307,2005-07-10,Pedro
879,880,2004-11-11,Parking,Alquiler,Lleida,272,1542784,2005-06-24,Joaquín
882,883,2004-11-11,Piso,Venta,Girona,266,1370964,2005-10-22,María
885,886,2004-11-12,Piso,Venta,Girona,133,1191281,2005-06-28,Joaquín
886,887,2004-11-13,Suelo,Alquiler,Barcelona,160,1356160,2005-11-08,Luisa
887,888,2004-11-13,Oficina,Alquiler,Lleida,95,412395,2005-07-31,María
888,889,2004-11-13,Oficina,Alquiler,Lleida,236,1420012,2005-10-31,Pedro
889,890,2004-11-13,Oficina,Venta,Tarragona,165,1598520,2005-10-11,Pedro
890,891,2004-11-13,Casa,Venta,Girona,255,2543625,2005-08-29,Pedro
891,892,2004-11-14,Casa,Alquiler,Tarragona,226,2025638,2005-05-04,María
892,893,2004-11-14,Casa,Venta,Tarragona,228,1115604,2005-09-21,Pedro
894,895,2004-11-14,Industrial,Alquiler,Barcelona,229,1341024,2005-09-12,Jesús
895,896,2004-11-14,Piso,Alquiler,Tarragona,226,1340632,2005-09-24,Luisa
897,898,2004-11-15,Casa,Venta,Barcelona,258,2449452,2005-03-14,Jesús
899,900,2004-11-16,Casa,Alquiler,Barcelona,136,1072768,2005-04-02,Pedro
900,901,2004-11-16,Parking,Alquiler,Girona,294,1653456,2005-07-18,Pedro
901,902,2004-11-17,Oficina,Alquiler,Barcelona,294,2722146,2005-11-05,Joaquín
902,903,2004-11-17,Suelo,Alquiler,Tarragona,151,1029367,2005-05-05,Carmen
906,907,2004-11-18,Oficina,Alquiler,Barcelona,59,491706,2005-07-03,Jesús
908,909,2004-11-18,Industrial,Venta,Tarragona,127,1204595,2005-04-15,Carmen
909,910,2004-11-19,Piso,Alquiler,Tarragona,197,1506853,2005-11-16,Jesús
910,911,2004-11-20,Local,Alquiler,Barcelona,135,1036665,2005-11-08,Pedro
911,912,2004-11-20,Suelo,Alquiler,Lleida,200,1967400,2005-08-30,Pedro
912,913,2004-11-20,Suelo,Alquiler,Lleida,250,1676500,2005-08-30,Pedro
914,915,2004-11-20,Oficina,Venta,Girona,285,1869885,2005-08-10,Jesús
915,916,2004-11-21,Piso,Alquiler,Lleida,155,1511095,2005-08-20,María
916,917,2004-11-21,Parking,Venta,Tarragona,263,1719757,2005-08-28,Pedro
917,918,2004-11-22,Industrial,Alquiler,Lleida,197,1662089,2005-06-29,Carmen
918,919,2004-11-22,Casa,Alquiler,Lleida,270,1311660,2005-10-11,María
919,920,2004-11-23,Industrial,Venta,Barcelona,137,1242042,2005-08-08,Luisa
920,921,2004-11-24,Suelo,Venta,Tarragona,163,1273030,2005-06-16,Luisa
921,922,2004-11-24,Oficina,Venta,Lleida,217,1238202,2005-05-11,Joaquín
922,923,2004-11-24,Suelo,Venta,Tarragona,257,1440742,2005-07-09,Carmen
923,924,2004-11-25,Parking,Alquiler,Girona,283,2213909,2005-05-10,Luisa
924,925,2004-11-25,Parking,Alquiler,Lleida,298,2039512,2005-10-11,Joaquín
925,926,2004-11-25,Suelo,Alquiler,Barcelona,298,2376550,2005-10-19,Luisa
927,928,2004-11-26,Industrial,Alquiler,Barcelona,283,1615647,2005-06-06,Joaquín
929,930,2004-11-27,Local,Venta,Tarragona,161,1604687,2005-03-05,Luisa
930,931,2004-11-27,Suelo,Venta,Lleida,223,2053384,2005-11-13,Carmen
933,934,2004-11-29,Casa,Alquiler,Girona,228,2212740,2005-10-10,Jesús
934,935,2004-11-30,Oficina,Alquiler,Lleida,164,1373008,2005-06-09,Pedro
936,937,2004-12-01,Industrial,Alquiler,Girona,276,1932552,2005-10-20,María
938,939,2004-12-01,Industrial,Alquiler,Girona,216,1962360,2005-05-17,Pedro
939,940,2004-12-02,Industrial,Venta,Barcelona,249,1662822,2005-07-11,Luisa
941,942,2004-12-02,Industrial,Alquiler,Tarragona,177,1485915,2005-04-29,Carmen
942,943,2004-12-03,Piso,Venta,Tarragona,268,1273000,2005-06-16,Carmen
945,946,2004-12-04,Piso,Venta,Girona,243,1447551,2005-09-13,Pedro
947,948,2004-12-05,Piso,Alquiler,Girona,237,1725597,2005-07-07,Pedro
948,949,2004-12-05,Parking,Alquiler,Barcelona,206,1241562,2005-07-27,María
949,950,2004-12-05,Piso,Venta,Girona,233,2153852,2005-03-11,Pedro
950,951,2004-12-06,Oficina,Venta,Barcelona,65,307255,2005-10-11,Carmen
952,953,2004-12-07,Casa,Alquiler,Girona,240,1510320,2005-10-19,Carmen
954,955,2004-12-09,Suelo,Venta,Girona,200,1938400,2005-08-25,María
957,958,2004-12-10,Local,Alquiler,Tarragona,227,1071667,2005-05-26,Carmen
958,959,2004-12-10,Parking,Venta,Tarragona,291,1872876,2005-05-16,María
959,960,2004-12-10,Suelo,Venta,Girona,275,1732500,2005-07-10,Joaquín
961,962,2004-12-10,Oficina,Alquiler,Barcelona,174,1271592,2005-07-13,Joaquín
962,963,2004-12-11,Local,Venta,Lleida,190,1593720,2005-05-28,Pedro
963,964,2004-12-11,Suelo,Venta,Girona,185,1038590,2005-07-15,Luisa
965,966,2004-12-11,Piso,Alquiler,Lleida,213,1994532,2005-04-22,María
968,969,2004-12-14,Piso,Venta,Lleida,272,2581552,2005-10-22,Pedro
969,970,2004-12-14,Piso,Alquiler,Girona,232,1193408,2005-06-07,Luisa
970,971,2004-12-14,Piso,Venta,Lleida,200,1145600,2005-09-22,María
971,972,2004-12-14,Piso,Venta,Girona,219,1059303,2005-07-27,Joaquín
975,976,2004-12-16,Local,Alquiler,Barcelona,232,1236560,2005-11-20,Pedro
976,977,2004-12-16,Suelo,Alquiler,Barcelona,199,1494490,2005-04-04,Joaquín
980,981,2004-12-18,Local,Venta,Girona,278,2273762,2005-11-30,Pedro
981,982,2004-12-19,Casa,Alquiler,Barcelona,212,1588940,2005-08-29,Carmen
982,983,2004-12-19,Oficina,Alquiler,Barcelona,250,1127750,2005-04-04,Luisa
983,984,2004-12-19,Suelo,Alquiler,Lleida,278,1678286,2005-04-20,Jesús
984,985,2004-12-20,Piso,Alquiler,Barcelona,270,2427300,2005-09-06,Pedro
985,986,2004-12-20,Suelo,Alquiler,Lleida,212,1753240,2005-05-14,Joaquín
986,987,2004-12-21,Industrial,Venta,Lleida,258,1894752,2005-08-21,Carmen
987,988,2004-12-21,Casa,Alquiler,Tarragona,225,2000475,2005-07-12,Jesús
989,990,2004-12-21,Industrial,Venta,Barcelona,182,1717898,2005-04-24,Pedro
990,991,2004-12-21,Oficina,Venta,Barcelona,233,1870757,2005-10-13,Luisa
991,992,2004-12-22,Piso,Alquiler,Girona,281,2326118,2005-07-22,María
992,993,2004-12-22,Industrial,Venta,Tarragona,201,1911510,2005-06-23,Luisa
993,994,2004-12-22,Local,Venta,Girona,187,1346961,2005-12-20,Joaquín
994,995,2004-12-22,Oficina,Venta,Tarragona,180,1414800,2005-05-29,Joaquín
997,998,2004-12-23,Local,Venta,Girona,219,2101743,2005-07-30,Luisa
999,1000,2004-12-24,Parking,Venta,Lleida,300,2707200,2005-10-15,Luisa
1000,1001,2004-12-25,Local,Venta,Barcelona,250,1368750,2005-06-07,Luisa
1001,1002,2004-12-25,Piso,Alquiler,Barcelona,292,2677056,2005-07-22,María
1004,1005,2004-12-26,Oficina,Alquiler,Girona,159,1437360,2005-06-12,Luisa
1005,1006,2004-12-26,Suelo,Venta,Lleida,215,1706240,2005-04-25,Pedro
1006,1007,2004-12-27,Oficina,Alquiler,Tarragona,86,822504,2005-08-17,Jesús
1008,1009,2004-12-27,Piso,Alquiler,Tarragona,222,1266732,2005-06-23,Pedro
1011,1012,2004-12-30,Oficina,Venta,Tarragona,173,1008071,2005-07-21,Jesús
1012,1013,2004-12-31,Oficina,Venta,Barcelona,191,1657880,2005-09-06,Pedro
1013,1014,2004-12-31,Casa,Venta,Barcelona,146,1457226,2005-11-05,María
1014,1015,2004-12-31,Local,Alquiler,Barcelona,168,1508472,2005-12-03,Luisa
1015,1016,2005-01-01,Parking,Alquiler,Barcelona,142,1276864,2005-10-24,María
1016,1017,2005-01-01,Parking,Venta,Girona,217,2101862,2005-10-23,Carmen
